UCSC_igenome	mm10
Olfr1371	Or2y6
Skp1a	Skp1
Sept8	Septin8
Gm12216	Carinh
4930504O13Rik	Lypd9
Olfr30	Or2z2
Olfr332	Or2av9
Olfr331	Or2t49
Olfr330	Or2t48
Olfr329-ps	Or2t29
Olfr328	Or2t47
Olfr224	Or2t43
Olfr325	Or2t46
Olfr324	Or2ab1
2210407C18Rik	Lypd8l
Olfr323	Or11l3
Olfr322	Or2w3
Olfr320	Or2ak7
Olfr319	Or2ak6
Olfr318	Or2ak5
Olfr317	Or2w3b
Olfr316	Or2ak4
Olfr315	Or2t45
Olfr314	Or2t44
Fam183b	Cfap144
Olfr313	Or5af2
Olfr312	Or5af1
Olfr311	Or9e1
Hist3h2ba	H2bc27
Hist3h2a	H2ac25
Olfr222	Or2b11
Olfr223	Or2aa1
Olfr225	Or2w25
Lrrc48	Drc3
Myo15	Myo15a
Gm1821	Ubb-ps
9130409J20Rik	Tmem238l
2310047M10Rik	Borcs6
4933402P03Rik	Spem2
0610010K14Rik	Bacc1
Fam64a	Pimreg
1200014J11Rik	Ncbp3
Gsg2	Haspin
Olfr20	Or1e1
Olfr376	Or1e1c
Olfr1	Or1e16
Olfr75-ps1	Or1e36-ps1
Olfr378	Or1e19
Olfr380	Or1e21
Olfr381	Or1e22
Olfr382	Or1e23
Olfr385	Or1e26
Olfr384	Or1e25
Olfr389	Or1e29
Olfr390	Or1e30
Olfr391-ps	Or1e31
Olfr392	Or1e32
Olfr393	Or1e33
Olfr394	Or1e34
Olfr395	Or1e35
Olfr23	Or1e17
Olfr397	Or1e1f
Olfr398	Or1r1
Olfr139	Or3a10
Olfr399	Or3a4
Olfr401	Or3a1b
Olfr402	Or3a1c
Olfr403	Or1a1
Olfr43	Or1a1b
Olfr406	Or1p1c
Olfr59	Or1p1
Olfr410	Or3a1
Olfr411	Or3a1d
Olfr412	Or1d2
E130309D14Rik	Ccdc92b
1700016K19Rik	Liat1
Fam101b	Rflnb
Fam57a	Tlcd3a
Rnmtl1	Mrm3
Tusc5	Trarg1
Ccdc55	Nsrp1
2610507B11Rik	Bltp2
BC030499	Rskr
Fam58b	Ccnq
Gm21975	Evi2
Slfn10-ps	Slfn10
AI662270	Slfnlnc
1700125H20Rik	Chct1
Sept4	Septin4
Bzrap1	Tspoap1
Olfr462	Or4d2b
Olfr463	Or4d2
Olfr464	Or4d1
1700106J16Rik	Ccdc182
Gm15698	Elobl
4932411E22Rik	Ankfn1
Hils1	H1f9
A730090H04Rik	Dlx4os
Phb	Phb1
Atp5g1	Atp5mc1
E130012A19Rik	Epop
1700001P01Rik	Spmap1
Gm12	Lrrc3c
Gm11938	Krtap2-22
Gm11937	Krtap2-21
Gm11562	Krtap2-20
Gm11563	Krtap4-25
Gm11595	Krtap4-22
Gm11596	Krtap4-23
Gm11554	Krtap4-20
Gm11569	Krtap4-21
Gm11564	Krtap4-26
