UCSC_igenome	mm10
Fam189a1	Entrep2
Ndnl2	Nsmce3
Tarsl2	Tars3
Vimp	Selenos
Lins	Lins1
Gm16157	Altre
LOC100505025	4930429H19Rik
1810026B05Rik	Chaserr
AI854517	Mir9-3hg
Fam103a1	Ramac
Hdgfrp3	Hdgfl3
Eftud1	Efl1
1700026D08Rik	Cfap161
Mesdc1	Tlnrd1
Mesdc2	Mesd
Olfr291	Or5ae2
Olfr290	Or5ae1
Olfr310	Or14c46
Olfr309	Or13g1
Olfr308	Or6f1
Olfr307	Or14a260
Olfr305	Or14a259
Olfr304	Or14a258
Olfr303	Or6aa1
Olfr301	Or14c44
Olfr299	Or14c43
Olfr298	Or14a257
Olfr297	Or14c45
Olfr295	Or14c41
Olfr294	Or14a256
Olfr293	Or14c40
Olfr292	Or14c39
l7Rn6	Hikeshi
2210018M11Rik	Emsy
Prkrir	Thap12
Gm4980	Tpbgl
Olfr520	Or2at4
Olfr521	Or2at1
Art2a-ps	Art2a
Olfr543	Or55b3
Olfr544	Or55b4
Olfr545	Or55b10
Olfr547	Or52b4
Olfr549	Or52b3
Olfr550	Or51r1
Olfr551	Or52p2
Olfr552	Or52k2
Olfr553	Or52m2
Olfr554	Or52m1
Olfr555	Or51h1
Olfr556	Or52i2
Olfr557	Or51d1
Olfr558	Or51e1
Olfr33	Or51a39
Olfr559	Or51a25
Olfr78	Or51e2
Olfr560	Or51f23b
Olfr561	Or51f5
Olfr564	Or51f23
Olfr566	Or51f1
Olfr568	Or51f2
Olfr569	Or52r1
Olfr570	Or51a8
Olfr571	Or51s1
Olfr572	Or51h5
Olfr574	Or51t4
Olfr575	Or51a6
Olfr576	Or51a7
Olfr577	Or51g2
Olfr578	Or51g1
Olfr582	Or52r1b
Olfr583	Or51f1d
Olfr584	Or52r1c
Olfr585	Or51f1e
Olfr586	Or51a5
Olfr589	Or52e2
Olfr591	Or52s1b
Olfr592	Or52j3
Olfr593	Or52s1
Olfr594	Or52e3
Olfr596	Or52e19
Olfr597	Or52ab2
Olfr598	Or52ab7
Olfr599	Or52ab4
Olfr600	Or52ad1
Olfr601	Or52s19
Olfr603	Or52e19b
Olfr605	Or52s6
Olfr606	Or51l14
Olfr608	Or52ae7
Olfr609	Or51af1
Olfr610	Or51ag1
Olfr611	Or51aa5
Olfr612	Or51aa2
Olfr613	Or51ab3
Olfr615	Or51ah3
Olfr616	Or51ac3
Olfr617	Or52z12
Olfr618	Or52z13
Olfr619	Or52z14
Olfr620	Or51v14
Olfr622	Or52a33
Olfr623	Or51b6b
Olfr624	Or51v8
Olfr243	Or52a20
Olfr628	Or52a24
Olfr629	Or52ae9
Olfr630	Or51l4
Olfr69	Or52a5b
Olfr68	Or52a5
Olfr67	Or52z1
Olfr66	Or51b4
Olfr64	Or51b17
Olfr65	Or51b6
Olfr631	Or51m1
Olfr632	Or51ai2
Olfr633	Or51k2
Olfr635	Or51q1
Olfr638	Or51q1c
Olfr639	Or51k1
Olfr640	Or51i1
Olfr641	Or51i2
Olfr642	Or51a10
Olfr643	Or51a42
Olfr644	Or51a43
Olfr645	Or51a24
Olfr646	Or52d1
4931431F19Rik	Ubqln5
E030002O03Rik	Olfm5
Olfr648	Or52h1
Olfr649	Or52h2
Olfr651	Or52h9
Olfr652	Or52h7
Olfr653	Or52d3
Olfr654	Or52u1
Olfr655	Or52ac1
Olfr656	Or52p1
Olfr657	Or56b1
Olfr658	Or52n4
Olfr659	Or52n20
Olfr661	Or56b2
Olfr663	Or56b2j
Olfr665	Or52n3
Olfr666	Or52n2
Olfr667	Or52n2b
Olfr668	Or52n2c
Olfr669	Or52n5
Olfr670	Or52e18
Olfr671	Or52e8
Olfr672	Or52e15
Olfr675	Or52e8b
Olfr676	Or52e7
Olfr677	Or52e4
Olfr678	Or52e5
Olfr679	Or56a3
Olfr681	Or56a3b
Olfr683	Or56a5
Olfr684	Or56a4
Olfr685	Or52l1
Olfr686	Or52x1
Olfr688	Or56b34
Olfr689	Or56b35
Olfr690	Or52b1
Olfr691	Or52b2
Olfr692	Or52w1
Fam160a2	Fhip1b
Prkcdbp	Cavin3
Gm4070	Gvin2
Gm17757	Gvin-ps2
Gm8979	Gvin-ps3
Gm18853	Gvin-ps4
Gm8989	Gvin-ps5
Gm4759	Gvin-ps6
Gm1966	Gvin3
Olfr693	Or2ag12
Olfr694	Or2ag1b
Olfr695	Or2ag13
Olfr697	Or2ag15
Olfr698	Or2ag16
Olfr699	Or2ag17
Olfr700	Or2ag18
Olfr701	Or2ag2b
Olfr702	Or13n4
Olfr703	Or2ag19
Olfr704	Or2ag20
Olfr705	Or2ag1
Olfr706	Or2ag2
Olfr707	Or2d3
Olfr1532-ps1	Or2d3b
Olfr710	Or2d4
Olfr6	Or6b9
Olfr711	Or6b6
Olfr2	Or6a2
Olfr713	Or10a5
Olfr714	Or10a2
Olfr17	Or10a4
Gm10081	Or2d2b
Olfr715	Or2d2
Olfr716	Or2d36
Olfr467	Or5p5
Olfr469	Or5p50
Olfr470	Or5p51
Olfr472	Or5p52
Olfr473	Or5p53
Olfr474	Or5p54
Olfr476	Or5p55
Olfr477	Or5p56
Olfr478	Or5p6
Olfr479	Or10ab4
Olfr480	Or5p57
Olfr481	Or5p4
Olfr482	Or5p58
Olfr483	Or5p59
Olfr484	Or5p60
Olfr485	Or5p61
Olfr486	Or5p62
Olfr487	Or5p63
Olfr488	Or5p64
Olfr490	Or5p66
Olfr491	Or5p1
Olfr492	Or5p67
Olfr493	Or5p68
Olfr494	Or5p69
Olfr495	Or5p70
Olfr497	Or5p72
Olfr498	Or5p73
Olfr502	Or5p76
Olfr503	Or52n4b
Olfr504	Or56b1b
Olfr506	Or5p78
Olfr507	Or5p79
Olfr508	Or5p80
Olfr509	Or10ab5
Olfr510	Or5p81
Olfr512	Or10a3m
Olfr513	Or5e1
Olfr514	Or10a48
Olfr516	Or10a3b
Olfr517	Or10a49
Olfr518	Or10a3
Olfr519	Or10a3n
St5	Dennd2b
Mrvi1	Irag1
1700012D14Rik	Zbed5-ps
Arntl	Bmal1
9030624J02Rik	Vps35l
2610020H08Rik	Rexo5
Tmem159	Ldaf1
BC030336	Mosmo
4933427G17Rik	Mfsd13b
D430042O09Rik	Katnip
Ccdc101	Sgf29
Fam57b	Tlcd3b
Sept1	Septin1
9130019O22Rik	Zfp747l1
E430018J23Rik	Zfp764l1
Gm166	Cfap119
9130023H24Rik	Zfp696
BC017158	Rusf1
Ppapdc1a	Plpp4
5430419D17Rik	Cdcp3
1700007K09Rik	Fam24b
Mettl10	Eef1akmt2
Fam175b	Abraxas2
Fam196a	Insyn2a
6430531B16Rik	Spef1l
Olfr522	Or6ae1
Olfr523	Or6f2
Olfr524	Or6b13
Cd163l1	Scart1
5830411N06Rik	Scart2
Olfr525	Or13a19
Olfr527	Or12j2
Olfr60	Or13a27
Olfr530	Or12j3
Olfr531	Or2j6
Olfr532	Or13a21
Olfr533	Or12j4
Olfr535	Or13a22
Olfr536	Or12j5
Olfr538	Or13a24
Olfr46	Or13a18
Olfr61	Or13a28
Olfr53	Or13a20
Olfr539	Or13a25
Olfr45	Or13a17
Olfr541	Or13a26
Odf3	Cimap1a
Ric8	Ric8a
Athl1	Pgghg
Pddc1	Gatd1
Gm4559	Krtap5-20
Cars	Cars1
Oraov1	LTO1
A430078G23Rik	Arhgef18
1700019B03Rik	Saxo5
C330021F23Rik	Rps23rg1
Fam155a	Nalf1
Carkd	Naxd
1700016D06Rik	Spaca7b
Gm5607	Sox1ot
Gm38671	Mir9768
4932443I19Rik	Cfap97d2
AF366264	Semp2l2a
Gm21119	Potefam3b
4930467E23Rik	Potefam3e
Gm15319	Potefam3a
Defa-rs7	Defa31
Gm10104	Defa35
Gm14851	Defa38
Gm15284	Defa30
Gm15293	Defa41
Gm15292	Defa40
Gm15299	Defa27
Defa-rs1	Defa29
Gm21002	Defa33
Gm21498	Defa36
Gm14850	Defa37
Gm7849	Defa42
Gm7861	Defa43
Gm15308	Defa32
Gm6696	Defa28
Gm15315	Defa34
AY761184	Defa39
Agpat6	Gpat4
1810011O10Rik	Tcim
Whsc1l1	Nsd3
Ppapdc1b	Plpp5
Prosc	Plpbp
Adgra3	Adgra2
Gm9731	Ccnq-ps2
Poteg	Ankrd69
Fut10	Pofut3
D8Ertd82e	Prag1
6430573F11Rik	Trmt9b
Gm5346	Adam34l
1700029J07Rik	Cfap96
LOC102636514	Hand2os1
5033428I22Rik	Hdnr
2700029M09Rik	Hpf1
Sgol2b	Sgo2b
March1	Marchf1
D130040H23Rik	Zfp781a
2310045N01Rik	Borcs8
2310045n01rik-mef2b	Mef2bl
2810428I15Rik	Rex1bd
Fam129c	Niban3
Olfr372	Or2z8
Olfr373	Or2z9
Olfr374	Or1ab2
Large	Large1
1700007B14Rik	Iqcm
Prmt10	Prmt9
Olfr370	Or10k2
Ddx39	Ddx39a
2210011C24Rik	Misp3
4930432K21Rik	Brme1
Ccdc130	Yju2b
Asna1	Get3
2310036O22Rik	Trir
Gm5741	Gng14
Olfr371	Or7c19
Gm2694	Cbln1os
Papd5	Tent4b
Fam192a	Psme3ip1
Tepp	Spmip8
Ccdc79	Terb1
Fam96b	Ciao2b
D230025D16Rik	Phaf1
4931428F04Rik	Matcap1
Lrrc29	Fbxl9
Fam65a	Ripor1
Rltpr	Carmil2
Cirh1a	Utp4
Mtss1l	Mtss2
Fuk	Fcsk
Aars	Aars1
Kars	Kars1
Tldc1	Meak7
Fam92b	Cibar2
Emc8-1190005i06rik	Gm27021
1190005I06Rik	Clmb
2810004N23Rik	Fsaf1
Pcnxl2	Pcnx2
BC021891	Map3k21
Gm17296	Tarbp1
2610044O15Rik8	Zfp1006
9230110C19Rik	Cfap300
Gm25500	Mir7650
Ccdc67	Deup1
Olfr24	Or1m1
Olfr828	Or7g16
Olfr829	Or7g17
Olfr830	Or7g18
Olfr832	Or7g19
Olfr834	Or7g12
Olfr835	Or7g20
Olfr836	Or7g21
Olfr837	Or7g22
Olfr843	Or7g25
Olfr845	Or7g27
Olfr846	Or7g28
Olfr847	Or7g29
Olfr849	Or7g30
Olfr850	Or7g31
Olfr851	Or7g32
Olfr853	Or7g33
Olfr854	Or7g34
Olfr855	Or7g35
Olfr856-ps1	Or7d12-ps1
Olfr857	Or7e166
Olfr58	Or7e165
Olfr859	Or7e168
Olfr860	Or7e169
Olfr862	Or7e170
Olfr77	Or7d10
Olfr866	Or7e173
Olfr867	Or7d11
Olfr868	Or7e174
Olfr869	Or7e175
Olfr870	Or8b12i
Olfr871	Or7h8
Olfr872	Or7e176
Olfr39	Or7d9
Olfr873	Or7e177
Olfr18	Or7e178
A230050P20Rik	Shfl
Fdx1l	Fdx2
1810026J23Rik	Timm29
Gm6484	Angptl8
Lppr2	Plppr2
LOC100049077	Gm45914
Ccdc151	Odad3
9530077C05Rik	Matcap2
Sept7	Septin7
AI414108	Igsf9b
Srpr	Srpra
Gm17365	Pate3
Gm17252	Pate1
Gm17677	Pate10
Gm17727	Pate7
D730048I06Rik	Pate6
9230110F15Rik	Pate5
Gm7257	Pate12
Gm9513	Pate11
Gm5615	Pate9
Gm17689	Pate8
A630095E13Rik	Pate14
Olfr160	Or8a1b
Olfr151	Or8a1
Olfr874	Or8b12
Olfr875	Or8b12b
Olfr876	Or8b12c
Olfr877	Or8b9
Olfr145	Or8b8
Olfr878	Or8b4
Olfr881	Or8b35
Olfr883	Or8b36
Olfr884	Or8b37
Olfr885	Or8b38
Olfr887	Or8b39
Olfr888	Or8b101
Olfr889	Or8b40
Olfr890	Or8b41
Olfr891	Or8c13
Olfr893	Or8c15
Olfr894	Or8c16
Olfr143	Or8c8
Olfr895	Or8c17
Olfr25	Or8c9
Olfr898	Or8c20
Olfr250	Or8c10
Olfr251	Or8c11
Olfr147	Or8b3
Olfr901	Or8b42
Olfr902	Or8b43
Olfr904	Or8b1b
Olfr905	Or8b1c
Olfr906	Or8b1
Olfr907	Or8b44
Olfr911-ps1	Or8b47
Olfr910	Or8b46
Olfr912	Or8b48
Olfr913	Or8b49
Olfr914	Or8b50
Olfr915	Or8b1d
Olfr916	Or8b51
Olfr917	Or8b52
Olfr918	Or8b3b
Olfr919	Or8g51
Olfr920	Or8b53
Olfr921	Or8b54
Olfr922	Or8b55
Olfr923	Or8b56
Olfr924	Or8d2
Olfr26	Or8d1
Olfr926	Or8d2b
Olfr930	Or8d23
Olfr933	Or8d1b
Olfr934	Or10d1c
Olfr935	Or8g21
Olfr146	Or8g17
Olfr936	Or8g22
Olfr937	Or8g23
Olfr938	Or8g24
Olfr27	Or8g19
Olfr943	Or8g26
Olfr944	Or8g27
Olfr1537	Or8g18
Olfr945	Or8g28
Olfr947-ps1	Or8g29
Olfr948	Or8g30
Olfr951	Or8g32
Olfr952	Or8g33
Olfr954	Or8g34
Olfr955	Or8g35
Olfr44	Or8g20
Olfr957	Or8g36
Olfr958	Or10d3
Olfr959	Or10d1
Olfr148	Or10n1
Olfr960	Or10d4b
Olfr961	Or10d4c
Olfr963	Or10d4
Olfr149	Or10d1b
Olfr965	Or8g52
Olfr150	Or8g50
Olfr967	Or8g4
Olfr968	Or8g53
Olfr969	Or8g54
Olfr970	Or8g37
Olfr971	Or8g2b
Olfr972	Or8g55
Olfr229	Or8g2
Olfr974	Or8d6
Olfr975	Or10d5
Olfr976	Or10d5j
Olfr978	Or10g7
Olfr979	Or10g9
Olfr980	Or10g9b
Olfr981	Or10g6
Olfr982	Or10s1
Olfr983	Or8b57
Olfr984	Or4d5
Olfr985	Or8d4
Olfr986	Or6x1
4931429I11Rik	Jhy
3110039I08Rik	Mir100hg
Tmem136	Tlcd5
Pvrl1	Nectin1
Pdzd3	Nherf4
H2afx	H2ax
Ccdc84	Cenatac
Atp5l	Atp5mg
Amica1	Jaml
BC049352	Smim35
1700003G13Rik	Lncbate3
AU019823	Nkapd1
1110032A03Rik	Cfap68
4833427G06Rik	Hoatz
Gm684	Pou2af3
1810046K07Rik	Pou2af2
Kdelc2	Poglut3
Wdr61	Skic8
AI118078	Tmem266
Odf3l1	Cimap1c
6030419C18Rik	Insyn1
Gramd2	Gramd2a
Vwa9	Ints14
2810417H13Rik	Pclaf
Fam96a	Ciao2a
Fam63b	Mindy2
Dyx1c1	Dnaaf4
Ccpg1os	Pierce2
Fam214a	Atosa
Ick	Cilk1
Gm3776	Gsta13
Gm10639	Gsta5
Mb21d1	Cgas
Fam46a	Tent5a
Ube2cbp	Ube3d
Dopey1	Dop1a
AF529169	Minar1
1700057G04Rik	Plscr1l1
1190002N15Rik	Dipk2a
7420426K07Rik	Prr23a4
1300017J02Rik	Inhca
Acpp	Acp3
1700080E11Rik	Nudt16l2
Vprbp	Dcaf1
Nat6	Naa80
Fam212a	Inka1
Ccdc36	Iho1
Qars	Qars1
Gm590	Fam240a
Tdgf1	Cripto
Slc22a13b-ps	Slc22a13b
Deb1	Ss18l2
Zfp651	Zbtb47
Fam198a	Gask1a
Gm21950	Btbd35f23
Gm3701	Btbd35f16
Gm3750	Btbd35f4
Gm3706	Btbd35f3
Gm14351	Btbd35f10
Gm14345	Btbd35f18
Gm21637	Spin2j
Gm14346	Btbd35f11
Gm14347	Btbd35f28
Gm10922	Btbd35f17
Gm3763	Btbd35f27
Gm14374	Btbd35f7
AU022751	Ezhip
Ppp1r3fos	Flicr
Gm14459	Ssxb15
Ssx9	Ssxb13
Gm6592	Ssxb14
Gm5634	Fthl17b
Gm14511	Fthl17c
Gm14458	Fthl17d
Fthl17	Fthl17e
Gm14499	Fthl17-ps1
Gm5635	Fthl17f
1700012L04Rik	H2al1m
Gm14501	H2al1k
Gm5132	H2al1o
Hypm	H2ap
4930557A04Rik	H2al3
Gm14483	H2al1a
Gm14475	H2al1i
Gm14477	H2al1c
Gm14474	H2al1b
Gm14484	H2al1e
Gm14479	H2al1f
Gm14476	H2al1d
Gm14482	H2al1g
Gm14478	H2al1h
Gm4906	H2al1j
2900008C10Rik	Bcor
Gm5382	H2al1n
4930578C19Rik	Dipk2b
Rp2h	Rp2
Gm4907	Tesl1
Gm10921	Btbd35f20
Gm2799	Btbd35f2
Gmcl1l	Btbd35f1
Gm21951	Btbd35f21
Gm2825	Btbd35f5
Gm2863	Btbd35f12
Gm2913	Btbd35f15
Gm2933	Btbd35f14
Gm2927	Btbd35f13
Gm6268	Ct47
2310010G23Rik	Mdrl
C330007P06Rik	Steep1
Sept6	Septin6
Btg1-ps1	Btg1b
Btg1-ps2	Btg1c
Cypt15	Cypt15-ps
Cypt14	Cypt14-ps
Gm362	Tex13c1
Gm595	Fsip2l
Olfr1320	Or11q2
Olfr1321	Or5o1
Olfr1322	Or11n2
Olfr1323	Or5bh3
Olfr1324	Or1aa2
Gm35612	Crsfirre
1700080O16Rik	Magea14
Hprt	Hprt1
C430049B03Rik	Mir503hg
Fam122b	Pabir2
Fam122c	Pabir3
Cxx1c	Rtl8c
Cxx1a	Rtl8a
Cxx1b	Rtl8b
LOC100504039	Gm53064
4930502E18Rik	Ct55
Ddx26b	Ints6l
Gm648	Ct45a
Mtap7d3	Map7d3
Gm364	Tm9sf5
4930550L24Rik	Magea13
C230004F18Rik	Cdr1os
4933402E13Rik	Magec2
1700019B21Rik	Tslrn1
3830417A13Rik	Magea9
1110012L19Rik	Eola1
BC023829	Tmem185a
Gm1141	Pasd1
Gm14685	Pwwp4a
DXBay18	Pwwp4b
Taz	Tafazzin
SlcUbl4a	Gm44504
Gm6880	Ctag2l1
Olfr1325	Or13ae2
Gm5640	Pwwp4c
Gm6890	Ctag2l2
Gm5936	Pwwp4d
Gm8787	Cfap47
Gm7173	Cfap47
4930595M18Rik	Srsf19
1600014K23Rik	Fthl17a
Gyk	Gk
5430427O19Rik	Tasl
Pet2	Dcaf8l
4932429P05Rik	Ppp4r3c2
4930415L06Rik	Ppp4r3c1
Gm44	Mageb11
LOC101055749	Gm14773
Gm5072	Mageb6b1
Gm14781	Mageb5b
F630028O10Rik	Mir223hg
Tmem28	Nalf2
Rgag4	Rtl5
Gm9112	Fam236f
1700011M02Rik	Fam236e
1700018G05Rik	Fam236c
Gm9159	Gm53177
C77370	Nexmif
Zcchc5	Rtl3
A630033H20Rik	P2ry10b
2610002M06Rik	Chmp1b2
Fam46d	Tent5d
Gm732	Wmp
Gm6377	Tasl2
4933403O08Rik	Tex16
H2afb2	H2ab2
Gm14920	H2ab1
H2afb3	H2ab3
4932411N23Rik	Dmtf1l
Diap2	Diaph2
Tmem35	Tmem35a
AV320801	Pramel3e
Pramel3	Pramel3a
Gm7903	Pramel3b
Gm5128	Pramel3c
Gm15023	Pramel3d
Prame	Pramex1
Wbp5	Tceal9
Ngfrap1	Bex3
H2bfm	H2bw2
Mum1l1	Pwwp3b
D330045A20Rik	Radx
Pih1h3b	Dnaaf6
Tex13	Tex13b
Kcne1l	Kcne5
Rgag1	Rtl9
Zcchc16	Rtl4
Gm22650	Mir3552
Tmem29	Vcf2
2210013O21Rik	Nbdy
Gm15140	Samt1d
4921511M17Rik	Samt1b
Gm10057	Samt1c
4930524N10Rik	Samt2b
A830080D01Rik	Bclaf3
Tmem27	Cltrn
Figf	Vegfd
4933400A11Rik	Capza1b
Zf12	Zfp24-ps
Gm6026	H2al2c
Gm16501	H2al2b
Gm21708	Rbmyf8
Gm4064	Rbmyf1
Gm10256	Rbmyf2
Gm10352	Rbmyf3
Gm21677	Rbmyf5
Gm21693	Rbmyf6
Gm21704	Rbmyf7
Gm3376	Rbmyf9
LOC100040786	Gm20852
Erdr1	Erdr1x
